time,global_anom_mean
"(Timestamp('1868-05-01 00:00:00'), 0.0)",-0.403946
"(Timestamp('1868-06-01 00:00:00'), 0.0)",-0.34225687
"(Timestamp('1868-07-01 00:00:00'), 0.0)",-0.33541632
"(Timestamp('1868-08-01 00:00:00'), 0.0)",-0.24650061
"(Timestamp('1868-09-01 00:00:00'), 0.0)",-0.2564377
"(Timestamp('1868-10-01 00:00:00'), 0.0)",-0.3710386
"(Timestamp('1868-11-01 00:00:00'), 0.0)",-0.5279377
"(Timestamp('1868-12-01 00:00:00'), 0.0)",-0.46644038
"(Timestamp('1869-01-01 00:00:00'), 0.0)",-0.19589792
"(Timestamp('1869-02-01 00:00:00'), 0.0)",-0.26098153
"(Timestamp('1869-03-01 00:00:00'), 0.0)",-0.37560445
"(Timestamp('1869-04-01 00:00:00'), 0.0)",-0.44057927
"(Timestamp('1869-05-01 00:00:00'), 0.0)",-0.38592887
"(Timestamp('1869-06-01 00:00:00'), 0.0)",-0.35521594
"(Timestamp('1869-07-01 00:00:00'), 0.0)",-0.38271308
"(Timestamp('1869-08-01 00:00:00'), 0.0)",-0.39981192
"(Timestamp('1869-09-01 00:00:00'), 0.0)",-0.38638937
"(Timestamp('1869-10-01 00:00:00'), 0.0)",-0.48394927
"(Timestamp('1869-11-01 00:00:00'), 0.0)",-0.1462074
"(Timestamp('1869-12-01 00:00:00'), 0.0)",-0.33295363
"(Timestamp('1870-01-01 00:00:00'), 0.0)",-0.4073841
"(Timestamp('1870-02-01 00:00:00'), 0.0)",-0.70891863
"(Timestamp('1870-03-01 00:00:00'), 0.0)",-0.509824
"(Timestamp('1870-04-01 00:00:00'), 0.0)",-0.55344796
"(Timestamp('1870-05-01 00:00:00'), 0.0)",-0.5154493
"(Timestamp('1870-06-01 00:00:00'), 0.0)",-0.36766
"(Timestamp('1870-07-01 00:00:00'), 0.0)",-0.31828773
"(Timestamp('1870-08-01 00:00:00'), 0.0)",-0.29340938
"(Timestamp('1870-09-01 00:00:00'), 0.0)",-0.3487188
"(Timestamp('1870-10-01 00:00:00'), 0.0)",-0.4153996
"(Timestamp('1870-11-01 00:00:00'), 0.0)",-0.58002746
"(Timestamp('1870-12-01 00:00:00'), 0.0)",-0.66699433
"(Timestamp('1871-01-01 00:00:00'), 0.0)",-0.73640543
"(Timestamp('1871-02-01 00:00:00'), 0.0)",-0.6996543
"(Timestamp('1871-03-01 00:00:00'), 0.0)",-0.38967025
"(Timestamp('1871-04-01 00:00:00'), 0.0)",-0.3486345
"(Timestamp('1871-05-01 00:00:00'), 0.0)",-0.5171101
"(Timestamp('1871-06-01 00:00:00'), 0.0)",-0.2869389
"(Timestamp('1871-07-01 00:00:00'), 0.0)",-0.2861227
"(Timestamp('1871-08-01 00:00:00'), 0.0)",-0.33217272
"(Timestamp('1871-09-01 00:00:00'), 0.0)",-0.5160304
"(Timestamp('1871-10-01 00:00:00'), 0.0)",-0.4613301
"(Timestamp('1871-11-01 00:00:00'), 0.0)",-0.5762044
"(Timestamp('1871-12-01 00:00:00'), 0.0)",-0.504435
"(Timestamp('1872-01-01 00:00:00'), 0.0)",-0.5068966
"(Timestamp('1872-02-01 00:00:00'), 0.0)",-0.5349237
"(Timestamp('1872-03-01 00:00:00'), 0.0)",-0.70228314
"(Timestamp('1872-04-01 00:00:00'), 0.0)",-0.68540615
"(Timestamp('1872-05-01 00:00:00'), 0.0)",-0.43435052
"(Timestamp('1872-06-01 00:00:00'), 0.0)",-0.44994947
"(Timestamp('1872-07-01 00:00:00'), 0.0)",-0.37848
"(Timestamp('1872-08-01 00:00:00'), 0.0)",-0.2735242
"(Timestamp('1872-09-01 00:00:00'), 0.0)",-0.42015386
"(Timestamp('1872-10-01 00:00:00'), 0.0)",-0.5166439
"(Timestamp('1872-11-01 00:00:00'), 0.0)",-0.56536144
"(Timestamp('1872-12-01 00:00:00'), 0.0)",-0.72354764
"(Timestamp('1873-01-01 00:00:00'), 0.0)",-0.56276655
"(Timestamp('1873-02-01 00:00:00'), 0.0)",-0.6433421
"(Timestamp('1873-03-01 00:00:00'), 0.0)",-0.78794426
"(Timestamp('1873-04-01 00:00:00'), 0.0)",-0.86530614
"(Timestamp('1873-05-01 00:00:00'), 0.0)",-0.5948705
"(Timestamp('1873-06-01 00:00:00'), 0.0)",-0.43756387
"(Timestamp('1873-07-01 00:00:00'), 0.0)",-0.34601587
"(Timestamp('1873-08-01 00:00:00'), 0.0)",-0.31269008
"(Timestamp('1873-09-01 00:00:00'), 0.0)",-0.39524978
"(Timestamp('1873-10-01 00:00:00'), 0.0)",-0.30400696
"(Timestamp('1873-11-01 00:00:00'), 0.0)",-0.5140222
"(Timestamp('1873-12-01 00:00:00'), 0.0)",-0.5452733
"(Timestamp('1874-01-01 00:00:00'), 0.0)",-0.7138646
"(Timestamp('1874-02-01 00:00:00'), 0.0)",-0.55250406
"(Timestamp('1874-03-01 00:00:00'), 0.0)",-0.5028885
"(Timestamp('1874-04-01 00:00:00'), 0.0)",-0.4624061
"(Timestamp('1874-05-01 00:00:00'), 0.0)",-0.5373956
"(Timestamp('1874-06-01 00:00:00'), 0.0)",-0.44443977
"(Timestamp('1874-07-01 00:00:00'), 0.0)",-0.49333125
"(Timestamp('1874-08-01 00:00:00'), 0.0)",-0.4269513
"(Timestamp('1874-09-01 00:00:00'), 0.0)",-0.3441763
"(Timestamp('1874-10-01 00:00:00'), 0.0)",-0.24013881
"(Timestamp('1874-11-01 00:00:00'), 0.0)",-0.45942494
"(Timestamp('1874-12-01 00:00:00'), 0.0)",-0.28272247
"(Timestamp('1875-01-01 00:00:00'), 0.0)",-0.3705427
"(Timestamp('1875-02-01 00:00:00'), 0.0)",-0.6548075
"(Timestamp('1875-03-01 00:00:00'), 0.0)",-0.65318274
"(Timestamp('1875-04-01 00:00:00'), 0.0)",-0.57202405
"(Timestamp('1875-05-01 00:00:00'), 0.0)",-0.54195553
"(Timestamp('1875-06-01 00:00:00'), 0.0)",-0.38003883
"(Timestamp('1875-07-01 00:00:00'), 0.0)",-0.3350136
"(Timestamp('1875-08-01 00:00:00'), 0.0)",-0.46668845
"(Timestamp('1875-09-01 00:00:00'), 0.0)",-0.49726614
"(Timestamp('1875-10-01 00:00:00'), 0.0)",-0.4326048
"(Timestamp('1875-11-01 00:00:00'), 0.0)",-0.5676489
"(Timestamp('1875-12-01 00:00:00'), 0.0)",-0.80157036
"(Timestamp('1876-01-01 00:00:00'), 0.0)",-0.50048995
"(Timestamp('1876-02-01 00:00:00'), 0.0)",-0.8732066
"(Timestamp('1876-03-01 00:00:00'), 0.0)",-0.5705238
"(Timestamp('1876-04-01 00:00:00'), 0.0)",-0.6419337
"(Timestamp('1876-05-01 00:00:00'), 0.0)",-0.9008963
"(Timestamp('1876-06-01 00:00:00'), 0.0)",-0.40246856
"(Timestamp('1876-07-01 00:00:00'), 0.0)",-0.4363814
"(Timestamp('1876-08-01 00:00:00'), 0.0)",-0.4649882
"(Timestamp('1876-09-01 00:00:00'), 0.0)",-0.39681998
"(Timestamp('1876-10-01 00:00:00'), 0.0)",-0.4415857
"(Timestamp('1876-11-01 00:00:00'), 0.0)",-0.4673605
"(Timestamp('1876-12-01 00:00:00'), 0.0)",-0.61135745
"(Timestamp('1877-01-01 00:00:00'), 0.0)",-0.49059334
